identifiant,nom,description,contexte,exemples,ressources,points,pourcentage,categorie,reductionPotentiel,perimetreEvaluation,desactivation,desactivationDesc,score,scoreDesc,reduction,reductionDesc,personnalisationQuestions,indicateurs,exprScore,Coremeasure
4.1.1,Promouvoir et suivre les pratiques multimodales sur le territoire,"La collectivité conduit des actions régulières de promotion et d'information pour une mobilité efficace et active à l'échelle de l'ensemble de son territoire. Elle s’associe pour cela à l’ensemble des acteurs impliqués dans le domaine de la mobilité.

La collectivité évalue, constate des évolutions positives, et communique ainsi l'évolution des parts modales associées à l'ensemble des modes actifs et alternatifs à la voiture individuelle (vélo, marche, transports publics, covoiturage...).","**Contexte et enjeux**

Les transports constituent la première cause d’émissions de gaz à effet de serre en France et dépendent à plus de 90% des énergies fossiles. La transition de ce secteur est donc incontournable ! Le trafic routier est à l’origine de l’émission de nombreux polluants dans l’air. Il constitue l’un des principaux émetteurs de particules et d’oxydes d’azote, en particulier dans les zones urbaines.

Le champ des compétences des collectivités territoriales leur confère une responsabilité majeure vis-à-vis de l’évolution de ces enjeux.

La loi d’orientation des mobilités (LOM) dispose que deux types d’acteurs puissent prendre la compétence d’organisation de la mobilité dans les territoires non couverts avant la loi :

• la communauté de communes (ou une structure supra-communautaire de type syndicat à laquelle elle aura transféré sa compétence),

• la région, par substitution, lorsque la communauté de communes aura choisi de ne pas prendre la compétence d’organisation de la mobilité.

Se déplacer mieux, moins et autrement pour limiter les impacts sur le climat et la santé est tout à fait possible à condition de repenser nos modes de vie, nos organisations et la place des véhicules individuels et motorisés en ville puisque ces derniers occupent 80% de la voirie actuellement.

Il existe un gisement important de report modal vers la marche, le vélo, et les transports en commun à l’échelle des courtes distances puisqu’en ville plus de la moitié des déplacements motorisés s’étendent sur moins de 3 km. Pour les plus longues distances, l’intermodalité (possibilité de passer d’un mode de transport à un autre), ou la sobriété (non déplacement) sera déterminante.

**Réglementation**

-   Les collectivités locales de plus de 100 000 habitants ont pour obligation de réaliser un plan de mobilité pour « contribuer aux objectifs de lutte contre le changement climatique, contre la pollution de l’air, contre la pollution sonore et contre l’étalement urbain ».
    
-   Les collectivités locales qui ont la compétence air et/ou qui sont situées en zone de Plan de protection de l'atmosphère (PPA) doivent participer à la mise en œuvre du plan de protection de l’atmosphère et des mesures d’urgence décidées.
    
-   Les collectivités locales ont aussi l'obligation de faciliter les solutions de covoiturage pour les déplacements domicile-travail (article 52 LTECV\*) et de réaliser des schémas d’aires de covoiturage
    
-   La Loi d’orientation des mobilités (LOM) de 2019, entend faciliter les déplacements quotidiens des Français et limiter l’impact des transports sur la qualité de l’air en particulier et sur l’environnement en général. Pour atteindre cet objectif, l’article 53 de la LOM prévoit le développement des modes actifs en lien avec l’intermodalité. Trois articles en particulier, intégrés au code des transports, visent à améliorer la liaison entre vélo et transports collectifs :
    

● L. 1272-1 : les gares de voyageurs, les pôles d’échanges multimodaux et les gares routières identifiés \[…\] sont équipés de stationnements sécurisés pour les vélos avant le 1er janvier 2024.

● L. 1272-5 : les matériels (trains) neufs et rénovés affectés à la réalisation des services ferroviaires de transport de voyageurs \[…\], à l’exception des services urbains, prévoient des emplacements destinés au transport de vélos non démontés.

● L. 1272-6 : à compter du 1er juillet 2021, les autocars neufs utilisés pour des services réguliers de transport public routier de personnes, à l’exception des services urbains, sont équipés, à leur mise en service, d’un système pour transporter au minimum cinq vélos non démontés.

La loi LOM de 2019 impose aux employeurs de plus de 50 salariés sur un même site d’insérer dans leurs négociations salariales un volet mobilité ou à défaut l’élaboration d’un Plan de Mobilité Employeur (PDMe).","**Hennebont**

**Mise en place d’un service Cheval Territorial**

→Source : dossier de candidature Cit’ergie et Fiche collectivité lauréate, 2020

En 2015, la Municipalité répondait à un appel à projets de la Région avec un projet portant initialement sur la création d’une ludoroulotte, obtenant ainsi une subvention pour la réalisation d’une étude de faisabilité et des dépenses d’investissement et de fonctionnement. Ce projet initial a été rapidement supplanté par la décision plus globale de créer un service Cheval territorial en 2017, affichant ainsi la volonté de la Municipalité de réintroduire le cheval utilitaire en ville, le cheval devant être à la fois utile et visible.

En assurant des activités à l’aide du cheval et en contribuant par là même à la valorisation de la race de trait breton, d’autres enjeux majeurs de cette démarche étaient ciblés :

• Un enjeu environnemental : l’avantage du cheval réside dans son absence d’empreinte écologique : il ne nécessite aucun combustible, n’émet pas de gaz à effet de serre ni de particules fines et ne pose pas la question du recyclage des matériaux.

• Un enjeu sociétal : Où qu’il passe, le cheval crée du lien entre les gens. Entre les habitants et les agents municipaux d’abord (il est souvent prétexte à l’engagement d’une discussion avec l’agent que l’on n’aurait pas abordé en d’autres circonstances) ; entre les habitants eux- mêmes ensuite : la présence d’un cheval en un lieu donné attire physiquement les personnes et fait rapidement l’objet des conversations.

• Enfin, le cheval suscite très souvent une plus grande application à respecter les règles élémentaires de civisme : des études ont ainsi révélé que les habitants apportent un soin plus marqué au tri de leurs déchets lorsque la collecte est effectuée au moyen d’un cheval. De même, la présence d’attelages en ville permet d’apaiser la circulation, les conducteurs se calant naturellement sur le pas du cheval.

Composé de 2 agents territoriaux et de 2 chevaux de Trait Breton, ce service assure de multiples activités et services auprès de la population et des services, tels que : transports de 150 enfants des accueils de loisirs vers la cantine, collecte et vidage des corbeilles du centre-ville et du parc de Kerbihan (plus de 2 000 L), visites Patrimoniale estivales, transport de public des quartiers prioritaires, actions de médiation avec le Relais Assistants Maternels et l’EHPAD, débardage, balades estivales (475 personnes), etc.

[https://www.hennebont.bzh/ma-mairie/grands-projets/cheval-territorial/](https://www.hennebont.bzh/ma-mairie/grands-projets/cheval-territorial/)

**CA Plaine Commune**

Enquête quantitative et qualitative sur la mise en place d’une zone d’action prioritaire pour l’air + Plan Marche

La communauté d’agglomérations de Plaine Commune en Seine Saint-Denis a mené une enquête quantitative et qualitative sur la mise en place d’une zone d’action prioritaire pour l’air (ZAPA) similaire au dispositif de zone à circulation restreinte.

Les enseignements tirés de cette enquête auprès de personnes majoritairement motorisées, sont instructifs. Sur ce territoire, 31% des ménages sont en-dessous du seuil de pauvreté et 17% des habitants sont au chômage en 2011 et plus de 57% d’entre eux sont motorisés. Le territoire est traversé par un nombre élevé d’axes routiers, générateurs de trafic et de pollution. Alors que 7 salariés sur 10 travaillent hors de Plaine Commune, 75% des salariés de l’agglomération ne résident pas dans l’agglomération. À Plaine Commune, la voiture est utilisée en grande majorité pour les déplacements domicile-travail, quelle que soit la CSP. Les personnes en recherche d’emploi prennent davantage les transports en commun. Les retraités font un usage fort de la voiture. Les artisans prennent tous la voiture, ensuite viennent les professions intermédiaires et les cadres. Plus généralement, la place de la voiture est d’autant plus importante que les revenus sont élevés. Alors que le covoiturage est très peu présent dans les esprits et mériterait des actions spécifiques, l’enquête a mis en évidence les attentes fortes des particuliers concernant le développement des transports en commun comme alternative à la voiture. Dans les territoires moins favorisés (ex: dans les banlieues), les dessertes de nuit et le weekend sont tout particulièrement nécessaires, les emplois de nuit étant bien souvent assumés par des populations moins aisées et n’ayant souvent d’autre choix que d’habiter dans des zones mal desservies. La qualité des transports en commun, son confort minimal mais aussi le nombre de changements peuvent aussi influencer le choix de la voiture. À l’époque, plus de la moitié des personnes étaient en faveur de la ZAPA (ex ZCR). Non seulement les leviers existent pour rendre ce changement possible mais il apparaît également souhaitable !

Puis, mise en place d’un « Plan Marche » en 2016 par Plaine Commune (diagnostic et programme d’actions)

https://plainecommune.fr/fileadmin/user\_upload/Portail\_Plaine\_Commune/LA\_DOC/THEMATIQUES/Mobilite/PlanAccessibiliteVoirie.pdf

[https://plainecommune.fr/fileadmin/user\_upload/Portail\_Plaine\_Commune/LA\_DOC/THEMATIQUES/Mobilite/PlanAccessibiliteVoirie.pdf](https://plainecommune.fr/fileadmin/user_upload/Portail_Plaine_Commune/LA_DOC/THEMATIQUES/Mobilite/PlanAccessibiliteVoirie.pdf)","« Plan vélo et marche 2023-2027 » :

[https://www.ecologie.gouv.fr/velo-et-marche](https://www.ecologie.gouv.fr/velo-et-marche)

CEREMA, décembre 2020 : ""Boîte à outils de l'intermodalité"" : des fiches pratiques pour organiser l'intermodalité dans les territoires

[https://www.cerema.fr/fr/actualites/boite-outils-intermodalite-fiches-pratiques-organiser](https://www.cerema.fr/fr/actualites/boite-outils-intermodalite-fiches-pratiques-organiser)

Vélo & Territoires, 2021 : étude EMBARQ sur l'intermodalité vélos

[https://www.velo-territoires.org/politiques-cyclables/intermodalite/#](https://www.velo-territoires.org/politiques-cyclables/intermodalite/#)

Le plan de mobilité simplifié - Planifier les déplacements dans un territoire rural ou une ville moyenne, Cerema, 2020

[https://www.cerema.fr/fr/actualites/plan-mobilite-simplifie-guide-pratique-collectivites](https://www.cerema.fr/fr/actualites/plan-mobilite-simplifie-guide-pratique-collectivites)

Compter les flux, comprendre les déplacements - Banque des Territoires, 2021 :

[https://www.banquedesterritoires.fr/compter-les-flux-comprendre-les-deplacements](https://www.banquedesterritoires.fr/compter-les-flux-comprendre-les-deplacements)",10,,,"<p>Baisse proportionnelle à la participation à la collectivité AOM, dans la limite de -50%.</p>
","Cette mesure est axée sur l’information/la communication ainsi que sur l’évaluation et l’atteinte de bonnes performances en matière de mobilité durable.

Ne pas évaluer ici :

-   la planification des déplacements (1.2.2)
    
-   les actions d’amélioration des infrastructures et les offres de mobilité alternatives (marche, vélo, TC, co-voiturage, auto-partage) qui font l’objet de mesures dédiées (4.3.1, 4.3.2, 4.3.3, 4.3.4)
    
-   règlement d'urbanisme (1.3.1)
    
-   les plans de déplacement établissements scolaires (6.5.3)
    
-   aides à l'écomobilité dans l'administration de la collectivité (4.1.2)",,,,,"max(reponse(AOM_2), 0.5) 
","Pour une collectivité non AOM, le score est proportionnel à la participation dans la structure AOM dans la limite de 50 %.",AOM_2,"cae_35, cae_36, cae_37, cae_38, cae_39",,x
4.1.1.1,Connaître les parts modales sur son territoire,"La collectivité réalise une enquête destinée à évaluer la part modale de chaque mode de déplacement actif ou alternatif. Il peut s'agit d'une Enquête Mobilité Certifiée CEREMA (EMC²) ou d'une méthodologie simplifiée ou partenariale pour les petites collectivités (niveau intercommunal avec déclinaison communale, étude réalisée dans le cadre de l'élaboration d'un PDM, d'un SCoT ou d'un PLU...). A minima, pour les territoires ruraux, les parts modales des trajets domicile-travail à partir des données INSEE sont identifiées.

La connaissance du taux de motorisation et de multi-motorisation des ménages (données INSEE enquêtes logement) est évaluée dans la mesure 1.2.2.",,,,,10,bases,,,,,,,,,,,,
4.1.1.2,S’organiser pour mener une politique d’information et de sensibilisation sur la mobilité durable,,,,,,10,bases,,,,,,,,,,,,
4.1.1.2.1,"Formaliser une politique d'information et de sensibilisation des habitants, intégrant notamment des liens avec la qualité de l’air",,,,,,,,,,,,,,,,,,,
4.1.1.2.2,Disposer d'un budget et de moyens humains dédiés à l’information sur la mobilité durable,,,,,,,,,,,,,,,,,,,
4.1.1.2.3,"Travailler a minima avec les autres collectivités et les Autorités Organisatrices des Mobilités afin de développer l’intermodalité (promotion des autres modes de transports disponibles au départ ou à destination, etc.)",Les AOM sont compétentes en matière d’organisation des déplacements sur leur territoire.,,,,,,,,,,,,,,,,,,
4.1.1.3,Promouvoir l’intermodalité et les modes de transports alternatifs à la voiture individuelle sous des formes et vers des cibles variées,"La collectivité utilise pour cela des supports et des formats variés :

-   support d'informations papier (plan, affiche, presse) et internet (plateforme de co-voiturage, calculateur d’itinéraires, …);
    
-   organisation d'évènements ayant pour sujet l'éco-mobilité (journée sans voiture, challenge de la mobilité, animations festives autour du vélo, essai de vélos à assistance électrique, « vélorution »...);
    
-   livret d’information, plan thématique et « offres découvertes » pour les nouveaux arrivants;
    
-   conseils en mobilité lors des nouvelles zones d'aménagement urbain ou de nouvelles constructions;
    
-   soutiens financiers variés;
    
-   mise en oeuvre d’aménagements urbains temporaires, en utilisant les principes de concertation de l’urbanisme tactique, pour tester de nouveaux aménagements encourageants les modes alternatifs en vue de les pérenniser si nécessaire.
    

Les actions spécifiques à destination des scolaires sont évaluées dans la mesure 6.5.3.",,,,,15,mise en œuvre,,,,,,,,,,,,
4.1.1.3.1,Promouvoir et soutenir les modes alternatifs à la voiture individuelle et l'intermodalité,,,,,,,,,,,,,,,,,,,
4.1.1.3.2,"Promouvoir et soutenir le télétravail, les vidéo-conférences, l’aménagement des horaires de travail pour limiter les déplacements et faciliter l'usage des transports en commun, ou modes actifs",,,,,,,,,,,,,,,,,,,
4.1.1.3.3,Promouvoir et soutenir les Plans de mobilité dans les entreprises (PDME - Plans de mobilité employeur) et les plans de mobilité employeur communs pour les entreprises situées sur un même site.,,,,,,,,,,,,,,,,,,"si val(cae_39) < limite(cae_39) alors 0
sinon si val(cae_39) > cible(cae_39) alors 1
sinon (val(cae_39) - limite(cae_39)) / (cible(cae_39) - limite(cae_39))",
4.1.1.3.4,"Promouvoir et soutenir l'usage des véhicules électriques, au biogaz ou à hydrogène de manière raisonnée et complémentaire aux modes alternatifs",,,,,,,,,,,,,,,,,,,
4.1.1.4,Créer un lieu/service dédié à l’information sur l’éco-mobilité,,,,,,15,mise en œuvre,,,,,,,,,,,,
4.1.1.4.1,Centraliser l’information disponible dans un lieu dédié à la mobilité ou diffusée par un service unique,"Ce lieu/service doit être facilement identifiable par les usagers (numéro d’appel dédié, horaires d’ouverture larges, localisation centrale…). Ce lieu/service, qui peut être mutualisé à l’échelle intercommunale, dispense des conseils gratuits et vise à réduire l’utilisation systématique de la voiture individuelle. Il s'adresse aux entreprises, aux administrations, aux commerces, aux établissements d'enseignements, de soins ou de loisirs, mais aussi aux particuliers (salariés, élèves, parents, touristes, clients...).",,,,,,,,,,,,,,,,,,
4.1.1.4.2,Développer des services d’information individualisée de mobilité auprès des usagers,,,,,,,,,,,,,,,,,,,
4.1.1.5,Travailler avec les acteurs de la mobilité à l’échelle du bassin de vie,"La collectivité créé ou participe à un réseau local dédié à la mobilité durable. Ce réseau est élargi et regroupe les différents acteurs locaux concernés par la mobilité durable (collectivités, services de l'État, AOT-AOM, entreprises de transport, entreprises, organismes consulaires, associations d'usagers ou de salariés, etc.). Le réseau est destiné à capitaliser et mutualiser les bonnes pratiques ainsi que les moyens (plans de mobilité , plateforme de covoiturage, formations à l'éco-conduite, etc.). Il contribue également à la finalisation et l'adaptation de la stratégie en matière de transport et de mobilité, notamment pour l'élaboration d'un plan de mobilité ou d’un plan de mobilité simplifié (cf. action 1.2.2).",,,,,10,mise en œuvre,,,,,,,,,,,,
